"Item","Description","Qty","Value","Sold Value"
"NIVEA BL","COMMANDE","8 000","88 000,00D A","88 000,00D A"
"NIVEA 48","PRODUCTION","100","12 500,00D A","12 500,00D A"
"NIVEA 30","PRODUCTION","100","12 500,00D A","12 500,00D A"
"NIKE TACHA PM","PRODUCTION","40","0,00D A","0,00D A"
"NIKE 3","JOURNAL POLYAMIDE","30","0,00D A","0,00D A"
"NIKE 156","PRODUCTION","100","24 000,00D A","24 000,00D A"
"NIKE 12","PRODUCTION","200","0,00D A","0,00D A"
"NIKE 104","PRODUCTION","100","0,00D A","0,00D A"
"NIKE 10","PRODUCTION","100","12 500,00D A","12 500,00D A"
"NIKE","JOURNAL SATIN","70","35 000,00D A","35 000,00D A"
"N 10 JSK 4","PRODUCTION","2 550","0,00D A","0,00D A"
"MULTI-MARCK 55","PRODUCTION","977","0,00D A","0,00D A"
"MULTI MARCK 4","PRODUCTION","510","0,00D A","0,00D A"
"MOULE LILAS","COMMANDE","2","3 500,00D A","3 500,00D A"
"MOULE LACOSTE","MOULE","1","2 000,00D A","2 000,00D A"
"MOULE DJOUMANA","COMMANDE","8","12 000,00D A","12 000,00D A"
"MOULE BMS","MOULE BMS","3","6 000,00D A","6 000,00D A"
"MOULE APPEL","MOULE TICKER","7","13 500,00D A","13 500,00D A"
"MOULE ALO","MOULE","1","2 000,00D A","2 000,00D A"
"MOULE  ","MOULE STYLE","1","2 000,00D A","2 000,00D A"
"MOULE","FEUILLE TRANSFER","29","47 000,00D A","47 000,00D A"
"MONO ELECTRIC","PRODUCTION","200","34 000,00D A","34 000,00D A"
"MODIFIER","PRODUCTION","202","30 300,00D A","30 300,00D A"
"MOBILIS 6","PRODUCTION","250","0,00D A","0,00D A"
"MOBILIS 5","PRODUCTION","6 076","674 880,00D A","674 880,00D A"
"MOBILIS 10","PRODUCTION","252","0,00D A","0,00D A"
"MIRAL","COMMANDE","75 000","90 000,00D A","90 000,00D A"
"MIDA","COMMANDE","34 400","37 680,00D A","37 680,00D A"
"MG","INK DTF","5","0,00D A","0,00D A"
"MCA 2","PRODUCTION","233","0,00D A","0,00D A"
"MCA","PRODUCTION","100","0,00D A","0,00D A"
"M C A","DE RAHIM","85","0,00D A","0,00D A"
"M 3","JOURNAL POLYAMIDE","225","0,00D A","0,00D A"
"M 2.5","JOURNAL SATIN","80","28 000,00D A","28 000,00D A"
"M","JOURNAL SATIN","20","10 000,00D A","10 000,00D A"
"LILAS","COMMANDE","255 600","175 680,00D A","175 680,00D A"
"LACOSTE_84","PRODUCTION","100","12 500,00D A","12 500,00D A"
"LACOSTE TAILLE","COMMANDE","30 000","25 500,00D A","25 500,00D A"
"LACOSTE 8","PRODUCTION","125","15 625,00D A","15 625,00D A"
"LACOSTE 6G 7P","PRODUCTION","3 494","0,00D A","0,00D A"
"LACOSTE 55","PRODUCTION","100","0,00D A","0,00D A"
"LACOSTE 28","PRODUCTION","153","0,00D A","0,00D A"
"LACOSTE 24","PRODUCTION","167","0,00D A","0,00D A"
"LACOSTE 156","PRODUCTION","100","0,00D A","0,00D A"
"LACOSTE 14","PRODUCTION","100","15 000,00D A","15 000,00D A"
"LACOSTE 13","PRODUCTION","750","22 500,00D A","22 500,00D A"
"LACOSTE 12 B","PRODUCTION","150","13 000,00D A","13 000,00D A"
"LACOSTE 12","PRODUCTION","100","12 500,00D A","12 500,00D A"
"LACOSTE","JOURNAL POLYAMIDE 3","20 573","220 500,00D A","220 500,00D A"
"L 3","JOURNAL POLYAMIDE","200","0,00D A","0,00D A"
"L 2.5","JOURNAL SATIN","80","28 000,00D A","28 000,00D A"
"L","JOURNAL SATIN","20","10 000,00D A","10 000,00D A"
"JSK 40","PRODUCTION","1 063","0,00D A","0,00D A"
"JSK","PRODUCTION","451","0,00D A","0,00D A"
"JOMA PUMA","PRODUCTION","200","48 000,00D A","48 000,00D A"
"HUMMEL","PRODUCTION","13 301","188 230,00D A","188 230,00D A"
"GUCCI  22","PRODUCTION","222","0,00D A","0,00D A"
"GOODMAX","PRODUCTION","136","0,00D A","0,00D A"
"GILLETTE 57","PRODUCTION","200","12 500,00D A","12 500,00D A"
"FULLA 7X3","FEUILLE","70","14 000,00D A","14 000,00D A"
"FULLA 11X5","FEUILLE","100","20 000,00D A","20 000,00D A"
"FREE DADY LATTRE","PRODUCTION","280","72 800,00D A","72 800,00D A"
"FRE DADY CHIFFRE","PRODUCTION","165","42 900,00D A","42 900,00D A"
"FILLETTE/6P","FEUILLE Transfer","1 000","0,00D A","0,00D A"
"FILLETTE/24P","FEUILLE Transfer","1 129","0,00D A","0,00D A"
"FEUILLE DTF","FEUILLE DTF","18","0,00D A","0,00D A"
"FAF_12_ADIDAS_27","PRODUCTION","354","0,00D A","0,00D A"
"FAF12 ADIDAS25","PRODUCTION","1 351","34 560,00D A","34 560,00D A"
"FAF ADIDAS","PRODUCTION","454","0,00D A","0,00D A"
"FAF 21 ADIDAS","PRODUCTION","102","24 480,00D A","24 480,00D A"
"FAF 12 ADIDAS 25","PRODUCTION","831","0,00D A","0,00D A"
