"Item","Description","Qty"
"BMS ELECTRIC","PRODUCTION","522"
"MONO ELECTRIC","PRODUCTION","200"
"BABY SHARK","PRODUCTION","100"
"SOUKOY 9","PRODUCTION","100"
"MOULE","FEUILLE TRANSFER","6"
"MOULE BMS","MOULE BMS","3"
