"Item","Description","Qty"
"APRENAZ 10","PRODUCTION","502"
"ARMANI 15","PRODUCTION","325"
"MODIFIER","PRODUCTION","202"
"BOSS 6","PRODUCTION","125"
"LACOSTE 8","PRODUCTION","125"
"TACHA 7 /TRI","PRODUCTION","125"
"WILSON 24","PRODUCTION","101"
"NIKE 10","PRODUCTION","100"
"LACOSTE 12","PRODUCTION","100"
"BOSS 10","PRODUCTION","100"
"PUMA3 ADIDAS3","PRODUCTION","100"
"MOULE","FEUILLE TRANSFER","6"
"","traspourt","1"
