"Item","Description","Qty"
"LACOSTE 13","PRODUCTION","150"
"NIVEA 30","PRODUCTION","100"
"ADIDAS 57","PRODUCTION","100"
"LACOSTE 14","PRODUCTION","100"
"NIVEA 48","PRODUCTION","50"
"GILLETTE 57","PRODUCTION","50"
"LACOSTE 12 B","PRODUCTION","50"
"B V B","FEUILLE TRANSFER","15"
