"Item","Description","Qty"
"MIRAL","COMMANDE","75 000"
"DJOUMANA","COMMANDE","55 000"
"MIDA","COMMANDE","34 400"
"MOULE","JOUMANA","14"
"MOULE DJOUMANA","COMMANDE","8"
