"Item","Description","Qty"
"REBON TERMIQUE","CHINE","72"
"RIBON","CHINE","50"
"RELOU CARBON","CHINE","40"
"ECUSSON","CHINE","30"
"TIKI ONE STEPUP","CHINE","10"
"DANTAIN","CHINE","9"
"NONE BLANC","CHINE","4"
"TABLE","CHINE","3"
"AKACHE","CHINE","3"
