"Item","Description","Qty"
"STYLE #","COMMANDE","300"
"LACOSTE","JOURNAL POLYAMIDE 3","300"
"BLANC 3","JOURNAL POLYAMIDE","200"
"MOULE  ","MOULE STYLE","1"
"MOULE LACOSTE","MOULE","1"
