"Item","Description","Qty"
"106799","FEUILLE CHINE","543"
"106800","FEUILLE CHINE","520"
"106798","FEUILLE CHINE","518"
"106801","FEUILLE CHINE","510"
"EMARACHE 2","PRODUCTION","400"
"LACOSTE_84","PRODUCTION","100"
"BOSS 84","PRODUCTION","100"
"BEYERN","STOCK RAHIM","100"
"ADIDAS 3B 96","PRODUCTION","100"
"ADIDAS 3B 97","PRODUCTION","100"
"BVB","STOCK RAHIM","81"
