"Item","Description","Qty"
"APPLE","COMMANDE","136 000"
"FULLA 11X5","FEUILLE","100"
"FULLA 7X3","FEUILLE","70"
"LACOSTE","JOURNAL SATIN","60"
"86029","FEUILLE","50"
"86039","FEUILLE","50"
"86047","FEUILLE","50"
"ADIDAS FL","JOURNAL SATIN","20"
"ADIDAS 3B","JOURNAL SATIN","20"
"NIKE","JOURNAL SATIN","20"
"MOULE APPEL","MOULE TICKER","7"
